id,lon,lat,name,assigned_map_ids
443,-73.9581638575,40.7148503617, 285 & 291 Metropolitan Ave,199
81,-73.9595532417,40.7302426196,101-105 West Street,199
659,-73.9144170284,40.8359812061,1296 Sheridan Avenue,199
3576,-73.9620769,40.718963,149 Kent Avenue ,199
444,-73.98224473,40.6933619256,166-180 Myrtle Avenue,199
3616,-73.950566,40.783875,1676 Third Ave - former Gas Station,199
3611,-74.0074574947,40.7447209392,17th Street Development Project,199
722,-73.8261723518,40.7829054902,18-30 Whitestone Expressway,199
651,-73.8871121407,40.8353155865,1800 Southern Boulevard,199
458,-73.9229035378,40.6830178396,192 Ralph Ave,199
717,-73.9458417892,40.7495571826,21-03 44th Avenue,199
440,-73.9852166176,40.7026755169,220 Water Street,199
3577,-73.9744716883,40.6795599617,"248, 250, 252 Flatbush Ave & 80 St. Marks St",199
446,-73.9795839787,40.6879358534,29 Flatbush Ave,199
82,-73.9342010021,40.706563251,353 McKibbin Street,199
598,-73.985812068,40.6916820869,388 Bridge Street,199
3595,-73.9455199242,40.7448428656,5 Pointz - Former Neptune Meter Site,199
87,-73.954923749,40.7466839275,5th Street Lofts,199
697,-73.8994932175,40.7529789172,64th Street,199
724,-73.8582730293,40.7109305811,90-30 Metropolitan Avenue,199
644,-73.8609713316,40.8710993924,"904 Burke Avenue, LLC",199
286,-73.9355581999,40.7235755175,Acme Architectural Products - 72 Anthony,199
131,-73.937022686,40.7229900815,Acme Architectural Products - 95 Lombardy,199
563,-74.197046,40.512615,Allied Prince's Bay,199
102,-73.9282894135,40.7497278671,Amtrak Sunnyside Rail Yard,199
104,-73.9518284798,40.7151512482,Ansbacher Color & Dye Factory,199
3600,-73.9474725723,40.7440544041,Arch St Yards,199
560,-74.171833992,40.5405311344,Arden Woods Estates Inc.,199
569,-74.2004156113,40.5918611861,Arthur Kill Generating Station,199
587,-73.9944648743,40.7652176947,Astor Substation Project Site,199
686,-73.8685512543,40.7086534243,Atlas Park Shopping Center,199
3590,-73.9304831,40.6773259,Auto Zone - former Gas Station,199
601,-73.9306712151,40.6770091532,"Auto Zone, former gas station",199
573,-74.076218605,40.6457894439,Ballpark at St. George Station,199
3610,-73.8879060745,40.8055425699,Baretto Point,199
653,-73.8879489899,40.805169003,Barretto Point Park,199
3582,-74.0117168427,40.631623445,Baseball Fields - Former Bay Ridge Gas Holders Site,199
606,-73.9964926243,40.5920974513,Bayside Fuel - 1776 Shore Pkwy,199
605,-73.995859623,40.5916004787,Bayside Fuel - 1810 Shore Pkwy,199
83,-73.9601755142,40.7246569343,Bayside Oil - Bushwick Inlet,199
475,-73.9481431246,40.7003411407,Beginning with Children Charter School - formerly Pfizer Citric Block,199
738,-73.8355708122,40.5828417503,Belle Harbor Shopping Center,199
561,-74.1777451,40.604725,Bloomfield Industrial Park,199
611,-73.9189499617,40.6301089707,Bon Ton Cleaners,199
3605,-73.9257895947,40.8108697305,Borinquen Court,199
